Name	Charge	Energy (eV)	Fermi Level (eV)
S_B	[-3, -4]	12.284545	1.937751
S_B	[-2, -3]	12.440614	2.093820
Si_N	[-1, -2]	8.077801	0.285868
Si_B	[-1, -2]	5.441246	4.961417
Ge_B	[-1, -2]	9.090772	4.972859
Se_N	[-1, -2]	8.908441	4.880980
S_N	[-1, -2]	5.725533	4.944643
S_B	[-1, -2]	9.942407	5.378321
Si_B	[0, -1]	5.058729	5.343933
Se_N	[0, -1]	8.908441	4.503391
Si_N	[0, -1]	6.654777	-0.425644
S_N	[0, -1]	5.725533	4.575802
Ge_B	[0, -1]	9.090772	4.596406
S_B	[0, -1]	7.371049	6.235441
S_N	[1, 0]	5.291438	5.378738
S_B	[1, 0]	11.259118	4.719966
Si_N	[1, 0]	8.863550	1.071617
Se_N	[1, 0]	8.374678	5.414744
Ge_B	[1, 0]	8.697275	5.366355
Si_B	[1, 0]	5.441246	4.561303
S_N	[2, 1]	0.473728	-0.676004
Si_N	[2, 1]	8.863550	2.114459
Si_B	[2, 1]	0.185046	-0.694897
Se_N	[2, 1]	3.748214	-0.656836
S_B	[2, 1]	12.440614	3.538470
Ge_B	[2, 1]	3.803826	-0.690539
S_B	[3, 2]	10.765908	1.178433
Si_N	[3, 2]	5.481230	5.496780
S_B	[4, 3]	2.932964	-1.432549
