Name	Charge	Energy (eV)	Fermi Level (eV)
C_i	[-1, -2]	8.996241	4.824769
O_N	[-1, -2]	2.193486	4.813645
C_B	[-1, -2]	4.374780	5.035294
O_B	[-1, -2]	6.628469	0.922623
C_N	[-1, -2]	4.594299	-0.151952
O_N	[0, -1]	2.193486	4.365780
O_B	[0, -1]	6.628469	2.208793
C_i	[0, -1]	10.437851	3.383159
O_i	[0, -1]	4.827196	-0.910501
C_N	[0, -1]	4.231932	-0.514318
C_B	[0, -1]	4.011147	5.398927
C_i	[1, 0]	9.382155	0.182228
O_i	[1, 0]	6.416932	0.679235
O_B	[1, 0]	5.233353	-0.472493
C_N	[1, 0]	4.594299	0.466779
O_N	[1, 0]	1.514817	5.492315
C_B	[1, 0]	4.374780	4.653962
O_B	[2, 1]	5.307116	3.530146
C_N	[2, 1]	-0.459973	5.521051
O_N	[2, 1]	-2.863693	-0.691398
O_i	[2, 1]	6.416932	5.486346
C_i	[2, 1]	10.437851	1.237924
C_B	[2, 1]	-0.971958	-0.692776
