Name	Charge	Energy (eV)	Fermi Level (eV)
B_N1-Va_B	[-3, -4]	9.447923	3.912295
N_B1-Va_N	[-1, -3]	14.137325	3.511655
Va_B1-Va_N	[-1, -2]	9.730131	0.640477
N_B1-Va_N	[0, -1]	13.975653	3.673327
Va_B1-Va_N	[0, -1]	9.497400	0.407745
N_B1-Va_N	[1, 0]	14.137325	2.871586
Va_B1-Va_N	[1, 0]	9.730131	1.495914
N_B1-Va_N	[2, 1]	11.361645	0.828416
Va_B1-Va_N	[2, 1]	8.870011	2.356035
B_N1-Va_B	[3, -3]	12.772965	2.803947
N_B1-Va_N	[3, 2]	12.826665	1.560926
