Name	Charge	Energy (eV)	Fermi Level (eV)
Va_B	[-3, -4]	7.730433	-0.168377
Va_B	[-2, -3]	7.304910	-0.593899
Va_B	[-1, -2]	7.730433	1.351653
Va_B	[0, -1]	6.916351	2.165735
Va_N	[0, -1]	5.056085	4.458963
Va_B	[1, 0]	-4.529508	6.256784
Va_N	[1, 0]	5.056085	3.713011
Va_B	[2, 1]	5.261777	2.993022
Va_N	[3, 1]	-2.469538	-1.422141
Va_N	[4, 3]	1.116168	-0.226906
