Name	Charge	Energy (eV)	Fermi Level (eV)
Va_B1-O_N	[-2, -3]	1.692034	-0.115601
Va_B1-Si_B2	[-2, -3]	8.688990	0.361478
Va_B1-O_N	[-1, -2]	1.197823	-0.609812
Va_B1-Si_B2	[-1, -2]	7.706973	-0.620539
Va_B1-O_N	[0, -1]	-6.241438	5.860857
Va_B1-Si_B2	[0, -1]	0.789446	5.839376
Va_B1-O_N	[1, 0]	0.802703	2.338786
Va_B1-Si_B2	[1, 0]	7.845794	2.311202
Va_B1-O_N	[2, 1]	1.692034	1.449455
Va_B1-Si_B2	[2, 1]	8.688990	1.468006
