Name	Charge	Energy (eV)	Fermi Level (eV)
B_i	[-1, -3]	12.575019	4.714742
B_N	[-1, -2]	10.164000	0.718624
N_B	[-1, -2]	6.417749	4.250963
B_N	[0, -1]	9.286348	-0.159029
B_i	[0, -1]	13.073863	4.215898
N_B	[0, -1]	6.743205	3.925507
N_i	[1, -1]	9.677613	1.660447
B_N	[1, 0]	10.164000	1.803992
N_B	[1, 0]	5.393367	0.722441
B_i	[2, 0]	13.073863	1.624645
B_N	[2, 1]	8.942001	3.025991
N_B	[2, 1]	6.743205	2.072279
